"","Wilaya","Nombrede bureaux de vote","Electeurs inscrits","Nombre votants","Taux Part","Suffrages exprimés","Bulletins nuls","BOUTEFLIKA Abdelaziz","Taux %","BENFLIS Ali","Taux%","BELAID Abdelaziz","Taux %","HANOUNE Louiza","Taux%","REBAINE Ali Fewzi","Taux%","TOUATI Moussa","Taux%"
"13","Tlemcen","1687","664719","420057","63,19","390417","29640","362672","92.89","11657","2.99","8026","2,06","3942","1,01","2673","0,68","1447","0,37"
"14","Tiaret","1413","538862","340119","63,12","318492","21627","298761","93.81","8671","2.72","4757","1,49","2649","0,83","2478","0,78","1176","0,37"
"15","Tizi Ouzou","1194","684351","137622","20,11","122748","14874","73401","59.8","33441","27.24","4597","3,75","7729","6,3","2740","2,23","840","0,68"
"16","Alger","4956","1891186","714714","37,79","600342","114372","427724","71.25","120500","20.07","24066","4,01","13414","2,23","9137","1,52","5501","0,92"
"17","Djelfa","978","525092","382049","72,76","363863","18186","336608","92.52","12521","3.44","6884","1,89","3947","1,08","2213","0,61","1690","0,46"
"18","Jijel","1022","412916","182026","44,08","153491","28535","73591","47.95","60684","39.54","9669","6,3","5113","3,33","3091","2,01","1343","0,87"
"19","Sétif","2151","933049","435109","46,63","368334","66775","245785","66.73","86064","23.37","21044","5,71","7128","1,93","5596","1,52","2717","0,74"
"20","Saïda","599","238904","153626","64,3","144287","9339","135694","94.04","4295","2.98","2062","1,43","1034","0,72","804","0,56","398","0,27"
"21","Skikda","1379","591946","311957","52,7","265930","46027","189797","71.37","49292","18.54","15287","5,75","5280","1,98","4555","1,71","1719","0,65"
"22","Sidi Bel Abbès","820","452260","302519","66,89","280371","22148","262486","93.62","8236","2.94","4451","1,59","2585","0,92","1707","0,61","906","0,32"
"23","Annaba","903","438752","234809","53,52","203933","30876","156597","76.79","30873","15.14","8888","4,36","4166","2,04","2361","1,16","1048","0,51"
"24","Guelma","923","368639","212516","57,65","188170","24346","123095","65.42","46037","24.46","11941","6,35","3500","1,86","2494","1,32","1103","0,59"
"25","Constantine","1233","587016","252690","43,05","213273","39417","152920","71.7","39059","18.31","11587","5,43","5345","2,51","2898","1,36","1464","0,69"
"26","Médéa","1307","545968","298521","54,68","264460","34061","231335","87.47","17827","6.74","6735","2,55","2824","1,07","2501","0,95","3238","1,22"
"27","Mostaganem","1110","467382","375738","80,39","360393","15345","343767","95.39","6495","1.8","3592","1.0","2950","0,82","1922","0,53","1667","0,46"
"28","M'sila","1538","609939","334185","54,79","305442","28743","263325","86.21","28188","9.23","8297","2,72","2559","0,84","2019","0,66","1054","0,34"
"29","Mascara","1188","528252","368387","69,74","347989","20398","326662","93.87","8688","2.5","4509","1,29","3192","0,92","2852","0,82","2086","0,6"
"30","Ouargla","641","291674","129457","44,38","116835","12622","104488","89.43","6798","5.82","3138","2,69","960","0,82","916","0,78","535","0,46"
"31","Oran","2173","1038288","532140","51,25","483841","48299","441390","91.23","22283","4.6","9398","1,94","5643","1,17","3331","0,69","1796","0,37"
"32","El Bayadh","427","176925","123534","69,82","115770","7764","107894","93.2","4216","3.64","1843","1,59","647","0,56","798","0,69","372","0,32"
"33","Illizi","92","34506","16169","46,86","15342","827","13472","87.81","1270","8.28","283","1,84","116","0,76","135","0,88","66","0,43"
"34","B.B.Arréridj","991","409935","203181","49,56","175775","27406","120833","68.75","41131","23.4","8057","4,58","2731","1,55","2031","1,16","992","0,56"
"35","Boumerdes","877","470835","185319","39,36","153401","31918","113792","74.18","24982","16.28","7252","4,73","3555","2,32","2569","1,67","1251","0,82"
"36","El Tarf","730","298756","195193","65,34","178487","16706","148965","83.46","17901","10.03","6884","3,85","2495","1,4","1567","0,88","675","0,38"
"37","Tindouf","134","78005","61144","78,38","55630","5514","50619","91","2784","5","1214","2,18","402","0,72","388","0,7","223","0,4"
"38","Tissemsilt","462","180371","129074","71,56","121301","7773","113183","93.31","3658","3.02","2162","1,78","916","0,75","948","0,78","434","0,36"
"39","El Oued","658","315811","187776","59,46","178610","9166","166764","93.37","7180","4.02","2762","1,54","716","0,4","744","0,42","444","0,25"
"40","Khenchela","734","232756","125315","53,84","118580","6735","62211","52.46","51956","43.82","2796","2,36","686","0,58","619","0,52","312","0,26"
"41","Souk Ahras","693","314437","161826","51,47","146296","15530","111318","76.09","24086","16.46","6540","4,47","2071","1,42","1589","1,09","692","0,47"
"42","Tipaza","982","413012","223285","54,06","190668","32617","158163","82.95","19058","9.99","6862","3,6","3086","1,62","2244","1,18","1255","0,66"
"43","Mila","1191","494881","214167","43,28","186820","27347","112628","60.29","54078","28.95","11215","6","4544","2,43","3078","1,65","1277","0,68"
"44","Ain Defla","1054","467667","233646","49,96","209720","23926","183692","87.6","12758","6.08","6994","3,33","2481","1,18","2508","1,2","1287","0,61"
"45","Naama","221","134203","83346","62,1","75782","7564","68786","90.77","3903","5.15","1694","2,23","522","0,69","605","0,8","272","0,36"
"46","A.Témouchent","548","282871","186854","66,06","173030","13824","160770","92.91","5431","3.14","3214","1,86","1897","1,1","1077","0,62","641","0,37"
"47","Ghardaïa","549","209993","115318","54,92","106035","9283","100202","94.5","2679","2.53","1995","1,88","419","0,39","464","0,44","276","0,26"
"48","Relizane","931","411687","338068","82,12","325943","12125","311487","95.56","6225","1.91","3130","0,96","2309","0,71","1732","0,53","1060","0,33"
